Alien,Dragon,Monk,0.5951066666666667
Cleric,Echnida,Hero,0.7035396825396826
Knight,Unicorn,Cleric,0.6502
Kraken,Assassin,Werewolf,0.6536883116883117
Knight,Goblin,Monk,0.6505283018867924
Mermaid,Shadow,Yeti,0.7252321428571429
Mermaid,Wizard,Echnida,0.69453125
Assassin,Vampire,Cyclops,0.671234375
Assassin,Elf,Hero,0.6562297297297297
Fairy,Dragon,Unicorn,0.6814098360655738
Knight,Robot,Vampire,0.6152911392405064
Mermaid,Dragon,Assassin,0.6852641509433962
Fairy,Echnida,Cyclops,0.697820895522388
Alien,Zombie,Hero,0.704469696969697
Alien,Zombie,Yeti,0.6957826086956522
Phoenix,Elf,Werewolf,0.6334
Knight,Cleric,Shadow,0.7002191780821918
Alien,Robot,Mage,0.6463835616438356
Cleric,Echnida,Werewolf,0.6526065573770492
Nymph,Unicorn,Goblin,0.7700175438596492
Dragon,Giant,Werewolf,0.606741935483871
Mermaid,Pirate,Echnida,0.6439545454545454
Mermaid,Pirate,Puppet,0.7043918918918919
Alien,Robot,Assassin,0.6248524590163934
Phoenix,Knight,Hero,0.6086307692307692
Mage,Yeti,Elf,0.6855178571428572
Fairy,Robot,Cleric,0.637179104477612
Mermaid,Unicorn,Elf,0.6964050632911393
Knight,Yeti,Monk,0.6600508474576271
Puppet,Mage,Echnida,0.6616065573770492
Fairy,Knight,Goblin,0.6922972972972973
Wizard,Hero,Werewolf,0.6728833333333334
Kraken,Troll,Giant,0.6245714285714286
Tank,Assassin,Hero,0.6313125
Nymph,Tank,Robot,0.5971509433962264
Dragon,Pirate,Unicorn,0.7034909090909091
Fairy,Hero,Werewolf,0.6937042253521126
Robot,Troll,Vampire,0.6497166666666667
Dragon,Giant,Cyclops,0.6357462686567165
Wizard,Goblin,Werewolf,0.65535
Zombie,Kraken,Giant,0.6738939393939394
Unicorn,Cleric,Echnida,0.7128028169014085
Fairy,Knight,Vampire,0.6702222222222223
Kraken,Dragon,Wizard,0.6535573770491804
Mermaid,Puppet,Yeti,0.7133928571428572
Alien,Pirate,Vampire,0.6292615384615384
Fairy,Monk,Cyclops,0.6983584905660377
Shadow,Goblin,Assassin,0.6806666666666666
Mermaid,Knight,Elf,0.6339846153846154
Shadow,Goblin,Monk,0.6891428571428572
Zombie,Wizard,Elf,0.6316
Kraken,Dragon,Giant,0.6310384615384615
Zombie,Shadow,Yeti,0.724625
Nymph,Phoenix,Giant,0.6550144927536232
Zombie,Robot,Troll,0.6295652173913043
Dragon,Unicorn,Vampire,0.6556527777777778
Phoenix,Wizard,Giant,0.6214615384615385
Mermaid,Tank,Monk,0.5751891891891892
Alien,Troll,Hero,0.7093731343283582
Phoenix,Echnida,Yeti,0.6310638297872341
Zombie,Monk,Werewolf,0.6203484848484848
Pirate,Robot,Echnida,0.621
Goblin,Troll,Assassin,0.6395833333333333
Phoenix,Pirate,Werewolf,0.6639090909090909
Wizard,Yeti,Hero,0.7048717948717949
Fairy,Elf,Giant,0.5846129032258065
Knight,Wizard,Elf,0.6265
Fairy,Robot,Unicorn,0.6297183098591549
Echnida,Hero,Giant,0.6342987012987013
Tank,Yeti,Cyclops,0.6630188679245284
Kraken,Robot,Werewolf,0.6308125
Dragon,Unicorn,Cleric,0.6703289473684211
Fairy,Mage,Troll,0.6905270270270271
Phoenix,Puppet,Hero,0.6807671232876712
Tank,Puppet,Shadow,0.6429493670886076
Phoenix,Knight,Vampire,0.6427903225806452
Zombie,Echnida,Goblin,0.6660491803278689
Fairy,Mermaid,Monk,0.6391451612903226
Phoenix,Wizard,Yeti,0.7015967741935484
Mermaid,Mage,Echnida,0.7017878787878787
Robot,Wizard,Vampire,0.6661470588235294
Fairy,Tank,Giant,0.5316
Mermaid,Dragon,Vampire,0.6839861111111111
Fairy,Tank,Vampire,0.6202465753424657
Kraken,Cleric,Echnida,0.6385692307692308
Mermaid,Robot,Wizard,0.6662028985507247
Phoenix,Shadow,Troll,0.6733030303030303
Tank,Robot,Assassin,0.58640625
Unicorn,Wizard,Vampire,0.6746285714285715
Dragon,Echnida,Hero,0.6438727272727273
Troll,Hero,Werewolf,0.6924936708860759
Knight,Echnida,Yeti,0.6659506172839507
Alien,Dragon,Cyclops,0.6542153846153846
Unicorn,Shadow,Hero,0.6905128205128205
Pirate,Hero,Vampire,0.7354285714285714
Robot,Mage,Giant,0.5893676470588235
Kraken,Mermaid,Cleric,0.6725970149253732
Fairy,Assassin,Giant,0.62125
Wizard,Troll,Elf,0.63752
Mermaid,Puppet,Goblin,0.7133207547169811
Alien,Phoenix,Yeti,0.6806543209876543
Nymph,Wizard,Echnida,0.6718333333333333
Mermaid,Troll,Hero,0.709
Nymph,Elf,Giant,0.6490338983050847
Dragon,Mage,Goblin,0.6688
Nymph,Phoenix,Yeti,0.7056164383561644
Goblin,Elf,Vampire,0.6557887323943662
Pirate,Wizard,Giant,0.5891372549019608
Fairy,Zombie,Troll,0.719
Fairy,Cleric,Mage,0.6992666666666667
Zombie,Phoenix,Wizard,0.6719545454545455
Kraken,Troll,Hero,0.692125
Cleric,Cyclops,Werewolf,0.6845517241379311
Pirate,Shadow,Vampire,0.6957205882352941
Knight,Tank,Troll,0.6175692307692308
Fairy,Kraken,Cyclops,0.6819375
Zombie,Dragon,Hero,0.7152535211267605
Alien,Cleric,Giant,0.6494848484848484
Phoenix,Tank,Unicorn,0.599046511627907
Mage,Elf,Monk,0.6253018867924528
Alien,Kraken,Wizard,0.6559206349206349
Alien,Dragon,Knight,0.68565
Phoenix,Wizard,Goblin,0.6307777777777778
Mermaid,Cleric,Cyclops,0.7275245901639344
Cleric,Shadow,Hero,0.7051320754716981
Robot,Unicorn,Echnida,0.6455522388059701
Mermaid,Knight,Mage,0.5701896551724138
Alien,Cleric,Goblin,0.6897692307692308
Tank,Giant,Werewolf,0.604
Phoenix,Assassin,Elf,0.6075245901639345
Alien,Pirate,Puppet,0.66259375
